TotalHands,WinCount,LossCount,TieCount,MaxWinStreak,MaxLossStreak,MaxTieStreak,WinPercentage,LossPercentage,TiePercentage,MaxBet,Bankroll
50,27,20,3,6,5,1,54.00%,40.00%,6.00%,320,506580
53,26,24,3,5,6,1,49.06%,45.28%,5.66%,640,506840
54,21,30,3,4,5,1,38.89%,55.56%,5.56%,320,507050
53,30,18,5,5,2,1,56.60%,33.96%,9.43%,40,507350
55,26,25,4,6,6,1,47.27%,45.45%,7.27%,640,507600
55,25,24,6,4,3,2,45.45%,43.64%,10.91%,80,507780
54,22,26,6,3,4,2,40.74%,48.15%,11.11%,160,508000
54,18,31,5,2,4,2,33.33%,57.41%,9.26%,160,508030
54,33,17,4,6,2,2,61.11%,31.48%,7.41%,40,508360
53,25,24,4,7,4,2,47.17%,45.28%,7.55%,160,508600
53,26,23,4,4,4,1,49.06%,43.40%,7.55%,160,508830
53,21,28,4,2,3,1,39.62%,52.83%,7.55%,80,509010
51,26,23,2,7,5,1,50.98%,45.10%,3.92%,320,509270
55,19,31,5,5,9,1,34.55%,56.36%,9.09%,5120,509450
54,20,30,4,5,6,2,37.04%,55.56%,7.41%,640,509620
54,34,16,4,9,3,2,62.96%,29.63%,7.41%,80,509960
52,25,22,5,5,4,1,48.08%,42.31%,9.62%,160,510210
56,20,31,5,4,6,1,35.71%,55.36%,8.93%,640,510100
54,24,26,4,3,4,1,44.44%,48.15%,7.41%,160,510340
54,24,23,7,5,6,3,44.44%,42.59%,12.96%,640,510580
52,18,31,3,3,5,1,34.62%,59.62%,5.77%,320,510760
53,25,24,4,3,6,1,47.17%,45.28%,7.55%,640,511010
54,17,31,6,3,7,1,31.48%,57.41%,11.11%,1280,511180
55,25,25,5,4,4,2,45.45%,45.45%,9.09%,160,511420
53,18,30,5,4,5,1,33.96%,56.60%,9.43%,160,511290
53,28,23,2,4,4,1,52.83%,43.40%,3.77%,160,511570
54,24,23,7,5,4,3,44.44%,42.59%,12.96%,160,511810
54,26,21,7,6,5,2,48.15%,38.89%,12.96%,320,512000
53,23,26,4,3,4,2,43.40%,49.06%,7.55%,160,512230
54,24,23,7,4,4,2,44.44%,42.59%,12.96%,160,512470
51,24,21,6,5,5,2,47.06%,41.18%,11.76%,320,512680
56,27,26,3,4,5,1,48.21%,46.43%,5.36%,320,512950
54,29,18,7,8,4,2,53.70%,33.33%,12.96%,160,513210
